acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
0.052983418,0.028337866,0.041471682,0.024927491,453.77344,252.60085,-311.5101,-231.62955,0.015643615,2.0,1437.5,116.75675675675677
0.05269382,0.025725357,0.041501965,0.022664357,452.57565,251.8925,-311.51648,-231.62923,-0.2358911,4.0,3.0,116.75675675675677
0.05223015,0.02836225,0.041521665,0.025364924,451.97058,251.8592,-311.5357,-231.57039,-0.36295623,6.0,1.0,116.75675675675677
0.053196654,0.028446322,0.04151121,0.025117746,453.48645,252.38506,-311.51144,-231.6214,-0.044623718,8.0,0.0,116.75675675675677
0.05288951,0.026354281,0.041937932,0.022343496,452.51312,251.59122,-311.48972,-231.54306,-0.24902251,10.0,0.0,116.75675675675677
0.052330803,0.029083021,0.041636527,0.025349589,451.27563,250.82211,-311.5224,-231.59311,-0.5088949,12.0,0.0,116.75675675675677
0.0528848,0.028415605,0.04177331,0.024758244,454.22473,253.0132,-311.51425,-231.63106,0.11041534,14.0,0.0,116.75675675675677
0.053018607,0.025560236,0.041370183,0.022240046,452.20734,251.48726,-311.51672,-231.61237,-0.3132376,16.0,1.0,116.75675675675677
0.05258692,0.029064046,0.041625634,0.024725324,453.25296,252.02199,-311.5426,-231.61243,-0.093656614,18.0,0.0,116.75675675675677
0.053031128,0.028111994,0.041734334,0.024921378,453.16898,252.07864,-311.52554,-231.62875,-0.11129333,20.0,0.0,116.75675675675677
0.053107522,0.025728129,0.04141306,0.02230788,452.24286,251.61377,-311.51373,-231.61436,-0.30577788,22.0,0.0,116.75675675675677
0.05269225,0.02869386,0.04110211,0.025158543,452.21518,251.29489,-311.48923,-231.55928,-0.31159055,24.0,0.0,116.75675675675677
0.053155877,0.028030992,0.041291498,0.024876675,453.02734,252.11005,-311.5045,-231.57272,-0.14103606,26.0,0.0,116.75675675675677
0.0525623,0.025356054,0.04171172,0.022278512,452.60428,251.49606,-311.50568,-231.57619,-0.22987975,28.0,0.0,116.75675675675677
0.052365318,0.028888604,0.041277237,0.025121016,453.4625,252.20451,-311.48587,-231.5696,-0.04965454,30.0,0.0,116.75675675675677
0.052944686,0.028695814,0.04173706,0.025233075,452.47073,251.65776,-311.49072,-231.66252,-0.2579242,,,116.75675675675677
0.05262064,0.02599924,0.04173748,0.02253847,452.78946,251.90182,-311.5474,-231.55293,-0.19099182,,,116.75675675675677
0.052382886,0.029002454,0.041396394,0.024916828,453.04443,252.18054,-311.50937,-231.59818,-0.1374472,,,116.75675675675677
0.053388063,0.028497376,0.04134894,0.024917226,452.18106,251.7338,-311.4799,-231.56987,-0.31875548,,,116.75675675675677
0.05291531,0.025890643,0.041348837,0.022172423,452.8637,251.81812,-311.5105,-231.4873,-0.17539947,,,116.75675675675677
0.052352365,0.028873183,0.041241825,0.024623131,453.99423,253.43956,-311.50546,-231.59633,0.062010497,,,116.75675675675677
0.053349674,0.028264623,0.041570097,0.024952283,451.89,251.55855,-311.48523,-231.60545,-0.37987518,,,116.75675675675677
0.052968115,0.02580892,0.041675594,0.022522083,453.29755,252.59908,-311.5348,-231.49481,-0.084293514,,,116.75675675675677
0.052748542,0.029538935,0.041224163,0.025015604,453.4896,252.7272,-311.54416,-231.58044,-0.043963622,,,116.75675675675677
0.05321213,0.028601995,0.041702162,0.025312494,451.89645,251.17148,-311.50464,-231.62952,-0.37852293,,,116.75675675675677
