Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
300.0025,0.13193253,-0.017710418,0.0828804,0.09470283,0.12088073,0.0350988,-0.08446655,-0.12067886,8.388282,8.276395,8.917728,8.727589,2.0,881.0,2.0,915.0,2.0,652.0,2.0,655.0,99.09152542372881,83.52
300.005,0.22999832,0.093884125,0.19616564,0.1978427,0.23585586,0.12978561,-0.05572357,-0.08178932,8.387698,8.27425,8.917955,8.727189,4.0,0.0,4.0,2.0,4.0,0.0,4.0,1.0,99.09152542372881,83.52
300.0075,0.19787475,0.07021042,0.19109315,0.19446212,0.2257109,0.12809372,0.0102186585,-0.025992049,8.386542,8.273804,8.920534,8.726448,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,99.09152542372881,83.52
300.01,0.060917813,-0.053217772,0.07442614,0.098085016,0.11918884,0.024953842,0.057562865,0.002752533,8.385489,8.275752,8.918326,8.725765,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,99.09152542372881,83.52
300.0125,-0.060821682,-0.19693908,-0.074366055,-0.03041725,-0.05834793,-0.12891082,0.06094345,0.002752533,8.384865,8.278768,8.9169855,8.723737,10.0,0.0,10.0,1.0,10.0,3.0,10.0,1.0,99.09152542372881,83.52
300.015,-0.14029266,-0.29669678,-0.1825788,-0.10819633,-0.17670363,-0.23374099,0.018674927,-0.04289978,8.384875,8.279711,8.913975,8.721387,12.0,2.0,12.0,11.0,12.0,9.0,12.0,4.0,99.09152542372881,83.52
300.01752,-0.08449539,-0.25611693,-0.15214393,-0.07437927,-0.14288817,-0.21345107,-0.0235968,-0.09024399,8.384252,8.277286,8.914294,8.720207,14.0,9.0,14.0,1.0,14.0,2.0,14.0,6.0,99.09152542372881,83.52
300.02002,0.03048294,-0.13944991,-0.037168007,0.03552498,-0.014384307,-0.10523872,-0.037122343,-0.105461426,8.384845,8.271763,8.917801,8.721279,16.0,3.0,16.0,0.0,16.0,1.0,16.0,2.0,99.09152542372881,83.52
300.02252,0.2080197,0.043159332,0.1336052,0.17924468,0.17160553,0.058770902,-0.010071258,-0.068262175,8.384446,8.2652235,8.918594,8.722752,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,99.09152542372881,83.52
300.02502,0.31453857,0.15137008,0.23167299,0.2519497,0.2730551,0.1585286,0.044037323,-0.0023199462,8.380979,8.2606325,8.9170065,8.724049,20.0,0.0,20.0,1.0,20.0,0.0,20.0,0.0,99.09152542372881,83.52
300.02753,0.27565062,0.12093521,0.19447453,0.20629737,0.2476927,0.14331116,0.10152328,0.06362068,8.377316,8.258,8.912107,8.724313,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,99.09152542372881,83.52
300.03003,0.12686004,-0.0024929808,0.076117225,0.09301254,0.13271758,0.055388715,0.13365005,0.09574745,8.371783,8.257669,8.906683,8.722031,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,99.09152542372881,83.52
300.0325,-0.0337706,-0.15466735,-0.059148613,-0.049016874,-0.046511076,-0.09340347,0.13534194,0.092365265,8.3660145,8.257866,8.904466,8.71851,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,99.09152542372881,83.52
300.035,-0.14536513,-0.27133438,-0.15214393,-0.13524902,-0.1868486,-0.20330611,0.10152328,0.051785428,8.363631,8.256954,8.90431,8.71496,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,99.09152542372881,83.52
300.0375,-0.09294845,-0.25949752,-0.12001836,-0.12510405,-0.1851567,-0.19992553,0.05079849,0.007825012,8.363887,8.255545,8.905497,8.713127,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,99.09152542372881,83.52
300.04,0.03217163,-0.1681929,-0.013496303,-0.047326583,-0.06003662,-0.11876587,0.020363616,-0.014156799,8.365983,8.253472,8.913283,8.713878,,,,,,,32.0,0.0,99.09152542372881,83.52
300.0425,0.20125534,-0.0024929808,0.13867767,0.082867585,0.13609818,0.048625946,0.023747405,-0.00908432,8.366608,8.25084,8.920751,8.717262,,,,,,,34.0,0.5,99.09152542372881,83.52
300.045,0.30439362,0.11755462,0.22321872,0.14373733,0.23923965,0.1822007,0.05079849,0.03149551,8.364582,8.24913,8.920854,8.720363,,,,,,,36.0,0.5,99.09152542372881,83.52
300.04752,0.25536072,0.093884125,0.19616564,0.09132225,0.18851486,0.17374603,0.091378324,0.09743774,8.361063,8.247825,8.91746,8.72008,,,,,,,,,99.09152542372881,83.52
300.05002,0.10487823,-0.027855376,0.09302536,-0.03041725,0.061702877,0.048625946,0.10152328,0.13294509,8.35824,8.246198,8.910478,8.716296,,,,,,,,,99.09152542372881,83.52
300.05252,-0.055749204,-0.17664917,-0.040549792,-0.18090133,-0.10230835,-0.12214805,0.0727803,0.11265518,8.356441,8.244757,8.902114,8.709519,,,,,,,,,99.09152542372881,83.52
300.05502,-0.16565506,-0.2882437,-0.13185401,-0.27051407,-0.21390289,-0.22697821,0.018674927,0.055167615,8.355294,8.243576,8.8963585,8.702762,,,,,,,,,99.09152542372881,83.52
