acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
0.0560957,0.030332014,0.044366874,0.02385248,442.6977,249.62057,-325.41016,-243.35312,-0.24869567,2.0,1309.5,135.0
0.055458535,0.03277266,0.043535054,0.027853886,444.43567,251.37328,-325.3752,-243.37663,0.1162793,4.0,7.0,135.0
0.056950316,0.031775307,0.04384275,0.026432704,444.48502,250.8679,-325.36865,-243.38411,0.12664215,6.0,3.5,135.0
0.057233486,0.02912137,0.04480398,0.022866461,443.72855,250.80115,-325.42114,-243.34521,-0.03221649,8.0,5.5,135.0
0.056299176,0.03283145,0.044232722,0.027517535,443.56778,250.57195,-325.38275,-243.3887,-0.06597748,10.0,1.5,135.0
0.05640609,0.032776576,0.04403744,0.026976556,444.24387,250.78473,-325.42203,-243.37228,0.07600067,12.0,1.0,135.0
0.056225076,0.029036446,0.044058673,0.023287488,442.76627,249.9619,-325.3859,-243.32602,-0.23429534,14.0,0.0,135.0
0.05621359,0.032121796,0.04396634,0.02612599,443.57108,250.3224,-325.36288,-243.35576,-0.06528534,16.0,0.0,135.0
0.05707044,0.033518393,0.04396207,0.026299043,444.39655,251.37437,-325.4014,-243.35039,0.10806335,18.0,0.5,135.0
0.056658037,0.029889306,0.044065658,0.024282372,444.08078,250.6888,-325.3975,-243.36873,0.04175262,20.0,0.0,135.0
0.05578366,0.03234337,0.0446375,0.027975705,444.0412,250.86855,-325.37363,-243.36092,0.03344055,22.0,0.5,135.0
0.056857046,0.031971417,0.044538528,0.0266533,444.28308,250.91563,-325.39108,-243.37764,0.08423584,24.0,0.0,135.0
0.05636229,0.029269606,0.044198096,0.022989998,442.85016,250.25766,-325.37106,-243.33035,-0.21667784,26.0,0.0,135.0
0.055204906,0.031981405,0.043432362,0.02729959,444.46466,251.09366,-325.358,-243.34566,0.12236755,28.0,0.0,135.0
0.056795,0.032285556,0.044467498,0.026899708,444.33835,251.34805,-325.38074,-243.40724,0.095841974,30.0,0.0,135.0
0.05723802,0.029506743,0.04500294,0.02306769,444.0606,250.82204,-325.37634,-243.3214,0.03751648,,,135.0
0.05658319,0.031862546,0.04430734,0.02585375,443.7797,250.62163,-325.35196,-243.35052,-0.021475524,,,135.0
0.056134492,0.033185303,0.044046186,0.026322389,444.5096,251.74553,-325.4166,-243.39528,0.13180755,,,135.0
0.055765294,0.03071663,0.044346947,0.024575947,443.04663,250.0032,-325.41772,-243.3286,-0.17541869,,,135.0
0.056239605,0.033166707,0.04457134,0.028008929,443.8337,250.73521,-325.38657,-243.33984,-0.0101321405,,,135.0
0.05722695,0.03254076,0.043937325,0.026270537,444.53107,251.30424,-325.39758,-243.34737,0.13631286,,,135.0
0.057045206,0.028978258,0.044425786,0.02262489,444.23645,250.8556,-325.40027,-243.32484,0.074443355,,,135.0
0.0558171,0.03138612,0.04422033,0.027463427,443.41357,250.15033,-325.3811,-243.36694,-0.09836059,,,135.0
0.056372542,0.032756794,0.04397235,0.026805865,444.5747,251.34254,-325.404,-243.38075,0.1454773,,,135.0
0.056071687,0.030001158,0.043459326,0.02354403,443.82178,250.75441,-325.42816,-243.33057,-0.012637939,,,135.0
0.056380462,0.032072544,0.043951567,0.026677405,443.28946,250.55606,-325.35654,-243.38313,-0.12442474,,,135.0
0.05695681,0.031976834,0.045021273,0.026436388,444.3847,251.05295,-325.42447,-243.38464,0.105576776,,,135.0
0.056421064,0.03030823,0.04484088,0.023813797,442.9631,250.02551,-325.39014,-243.3359,-0.19295928,,,135.0
0.055600464,0.032708917,0.04341019,0.027546024,443.9311,251.10426,-325.38504,-243.36726,0.010317992,,,135.0
0.055972602,0.03273048,0.042713918,0.026171623,444.40762,251.05089,-325.41583,-243.3656,0.11038971,,,135.0
0.056988552,0.029087903,0.044183258,0.0230162,443.5174,250.73517,-325.4389,-243.30414,-0.076558225,,,135.0
0.056329448,0.03253935,0.045419782,0.027347961,442.90176,249.93463,-325.33142,-243.40053,-0.20584075,,,135.0
0.057196494,0.033446964,0.044849068,0.027072493,444.95993,251.11768,-325.34967,-243.37709,0.2263742,,,135.0
0.05657242,0.030029012,0.043836657,0.023995822,442.81357,250.16217,-325.40048,-243.3289,-0.22436187,,,135.0
0.056140184,0.032032598,0.043584734,0.026781201,442.7234,249.88292,-325.3343,-243.3439,-0.24329956,,,135.0
0.057286594,0.03211224,0.04460115,0.025484994,444.45633,251.46165,-325.40723,-243.3072,0.12061798,,,135.0
0.056169387,0.030258255,0.044443056,0.023955472,443.81992,251.11292,-325.41068,-243.32535,-0.013028869,,,135.0
0.055211995,0.032756582,0.043654483,0.027812796,442.56226,249.95776,-325.39224,-243.35904,-0.27713743,,,135.0
0.056949105,0.03288721,0.044112198,0.0268242,444.77274,251.57095,-325.3864,-243.38182,0.18706329,,,135.0
0.05781213,0.029118862,0.045292594,0.022814399,444.82855,251.4805,-325.41348,-243.32782,0.19878478,,,135.0
0.055888325,0.032167796,0.045108017,0.027026517,443.23672,250.17365,-325.35596,-243.3885,-0.13549896,,,135.0
0.056213643,0.03272088,0.043271456,0.026859261,444.4723,251.41608,-325.41223,-243.36978,0.123969726,,,135.0
0.056859244,0.030437864,0.043334395,0.023227217,442.83487,249.93562,-325.39438,-243.28801,-0.2198886,,,135.0
0.05616227,0.03212666,0.044369504,0.027450012,442.97827,250.06818,-325.39417,-243.38802,-0.18977417,,,135.0
0.056341752,0.031497274,0.045467015,0.025904058,444.71732,251.12885,-325.38983,-243.39374,0.1754251,,,135.0
0.055956278,0.029561656,0.043989357,0.023664374,444.7706,251.60828,-325.42014,-243.32742,0.18661468,,,135.0
0.05639744,0.03333726,0.042865988,0.02778397,443.09412,250.37378,-325.3645,-243.35146,-0.16544677,,,135.0
0.057215866,0.03351798,0.04414818,0.02699202,444.79108,251.46362,-325.44614,-243.38506,0.19091491,,,135.0
